"Facility";"Code";"Constant";"Description"
"WIN32";"0x80070013";"ERROR_WRITE_PROTECT";"The media is write protected."
"WIN32";"0x80070014";"ERROR_BAD_UNIT";"The system cannot find the device specified."
"WIN32";"0x80070015";"ERROR_NOT_READY";"The device is not ready."
"WIN32";"0x80070016";"ERROR_BAD_COMMAND";"The device does not recognize the command."
"WIN32";"0x80070017";"ERROR_CRC";"Data error (cyclic redundancy check)."
"WIN32";"0x80070018";"ERROR_BAD_LENGTH";"The program issued a command but the command length is incorrect."
"WIN32";"0x80070019";"ERROR_SEEK";"The drive cannot locate a specific area or track on the disk."
"WIN32";"0x8007001A";"ERROR_NOT_DOS_DISK";"The specified disk or diskette cannot be accessed."
"WIN32";"0x8007001B";"ERROR_SECTOR_NOT_FOUND";"The drive cannot find the sector requested."
"WIN32";"0x8007001C";"ERROR_OUT_OF_PAPER";"The printer is out of paper."
"WIN32";"0x8007001D";"ERROR_WRITE_FAULT";"The system cannot write to the specified device."
"WIN32";"0x8007001E";"ERROR_READ_FAULT";"The system cannot read from the specified device."
"WIN32";"0x8007001F";"ERROR_GEN_FAILURE";"A device attached to the system is not functioning."
"WIN32";"0x80070020";"ERROR_SHARING_VIOLATION";"The process cannot access the file because it is being used by another process."
"WIN32";"0x80070020";"E_SHARING_VIOLATION";"The output file is in use."
"WIN32";"0x80070021";"ERROR_LOCK_VIOLATION";"The process cannot access the file because another process has locked a portion of the file."
"WIN32";"0x80070022";"ERROR_WRONG_DISK";"The wrong diskette is in the drive."
"WIN32";"0x80070024";"ERROR_SHARING_BUFFER_EXCEEDED";"Too many files opened for sharing."
"WIN32";"0x80070026";"ERROR_HANDLE_EOF";"Reached the end of the file."
"WIN32";"0x80070027";"ERROR_HANDLE_DISK_FULL";"The disk is full."
"WIN32";"0x80070032";"ERROR_NOT_SUPPORTED";"The request is not supported."
"WIN32";"0x80070033";"ERROR_REM_NOT_LIST";"Windows cannot find the network path. Verify that the network path is correct and the destination computer is not busy or turned off. If Windows still cannot find the network path, contact your network administrator."
"WIN32";"0x80070034";"ERROR_DUP_NAME";"You were not connected because a duplicate name exists on the network. If joining a domain, go to System in Control Panel to change the computer name and try again. If joining a workgroup, choose another workgroup name."
"WIN32";"0x80070035";"ERROR_BAD_NETPATH";"The network path was not found."
"WIN32";"0x80070036";"ERROR_NETWORK_BUSY";"The network is busy."
"WIN32";"0x80070037";"ERROR_DEV_NOT_EXIST";"The specified network resource or device is no longer available."
"WIN32";"0x80070038";"ERROR_TOO_MANY_CMDS";"The network BIOS command limit has been reached."
"WIN32";"0x80070039";"ERROR_ADAP_HDW_ERR";"A network adapter hardware error occurred."
"WIN32";"0x8007003A";"ERROR_BAD_NET_RESP";"The specified server cannot perform the requested operation."
"WIN32";"0x8007003B";"ERROR_UNEXP_NET_ERR";"An unexpected network error occurred."
"WIN32";"0x8007003C";"ERROR_BAD_REM_ADAP";"The remote adapter is not compatible."
"WIN32";"0x8007003D";"ERROR_PRINTQ_FULL";"The printer queue is full."
"WIN32";"0x8007003E";"ERROR_NO_SPOOL_SPACE";"Space to store the file waiting to be printed is not available on the server."
"WIN32";"0x8007003F";"ERROR_PRINT_CANCELLED";"Your file waiting to be printed was deleted."
"WIN32";"0x80070040";"ERROR_NETNAME_DELETED";"The specified network name is no longer available."
"WIN32";"0x80070041";"ERROR_NETWORK_ACCESS_DENIED";"Network access is denied."
"WIN32";"0x80070042";"ERROR_BAD_DEV_TYPE";"The network resource type is not correct."
"WIN32";"0x80070043";"ERROR_BAD_NET_NAME";"The network name cannot be found."
"WIN32";"0x80070044";"ERROR_TOO_MANY_NAMES";"The name limit for the local computer network adapter card was exceeded."
"WIN32";"0x80070045";"ERROR_TOO_MANY_SESS";"The network BIOS session limit was exceeded."
"WIN32";"0x80070046";"ERROR_SHARING_PAUSED";"The remote server has been paused or is in the process of being started."
"WIN32";"0x80070047";"ERROR_REQ_NOT_ACCEP";"No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept."
"WIN32";"0x80070048";"ERROR_REDIR_PAUSED";"The specified printer or disk device has been paused."
"WIN32";"0x80070050";"ERROR_FILE_EXISTS";"The file exists."
"WIN32";"0x80070052";"ERROR_CANNOT_MAKE";"The directory or file cannot be created."
"WIN32";"0x80070053";"ERROR_FAIL_I24";"Fail on INT 24."
"WIN32";"0x80070054";"ERROR_OUT_OF_STRUCTURES";"Storage to process this request is not available."
"WIN32";"0x80070055";"ERROR_ALREADY_ASSIGNED";"The local device name is already in use."
"WIN32";"0x80070056";"ERROR_INVALID_PASSWORD";"The specified network password is not correct."
"WIN32";"0x80070057";"ERROR_INVALID_PARAMETER";"The parameter is incorrect."
"WIN32";"0x80070057";"E_INVALIDARG";"One or more arguments are invalid."
"WIN32";"0x80070057";"DDERR_INVALIDPARAMS";"One or more of the parameters passed to the method are incorrect."
"WIN32";"0x80070058";"ERROR_NET_WRITE_FAULT";"A write fault occurred on the network."
"WIN32";"0x80070059";"ERROR_NO_PROC_SLOTS";"The system cannot start another process at this time."
"WIN32";"0x80070064";"ERROR_TOO_MANY_SEMAPHORES";"Cannot create another system semaphore."
"WIN32";"0x80070065";"ERROR_EXCL_SEM_ALREADY_OWNED";"The exclusive semaphore is owned by another process."
"WIN32";"0x80070066";"ERROR_SEM_IS_SET";"The semaphore is set and cannot be closed."
"WIN32";"0x80070067";"ERROR_TOO_MANY_SEM_REQUESTS";"The semaphore cannot be set again."
"WIN32";"0x80070068";"ERROR_INVALID_AT_INTERRUPT_TIME";"Cannot request exclusive semaphores at interrupt time."
"WIN32";"0x80070069";"ERROR_SEM_OWNER_DIED";"The previous ownership of this semaphore has ended."
"WIN32";"0x8007006A";"ERROR_SEM_USER_LIMIT";"Insert the diskette for drive %1."
"WIN32";"0x8007006B";"ERROR_DISK_CHANGE";"The program stopped because an alternate diskette was not inserted."
"WIN32";"0x8007006C";"ERROR_DRIVE_LOCKED";"The disk is in use or locked by another process."
"WIN32";"0x8007006D";"ERROR_BROKEN_PIPE";"The pipe has been ended."
"WIN32";"0x8007006E";"ERROR_OPEN_FAILED";"The system cannot open the device or file specified."
"WIN32";"0x8007006F";"ERROR_BUFFER_OVERFLOW";"The file name is too long."
"WIN32";"0x80070070";"ERROR_DISK_FULL";"There is not enough space on the disk."
"WIN32";"0x80070071";"ERROR_NO_MORE_SEARCH_HANDLES";"No more internal file identifiers available."
"WIN32";"0x80070072";"ERROR_INVALID_TARGET_HANDLE";"The target internal file identifier is incorrect."
"WIN32";"0x80070075";"ERROR_INVALID_CATEGORY";"The IOCTL call made by the application program is not correct."
"WIN32";"0x80070076";"ERROR_INVALID_VERIFY_SWITCH";"The verify-on-write switch parameter value is not correct."
"WIN32";"0x80070077";"ERROR_BAD_DRIVER_LEVEL";"The system does not support the command requested."
"WIN32";"0x80070078";"ERROR_CALL_NOT_IMPLEMENTED";"This function is not supported on this system."
"WIN32";"0x80070079";"ERROR_SEM_TIMEOUT";"The semaphore timeout period has expired."
"WIN32";"0x8007007A";"ERROR_INSUFFICIENT_BUFFER";"The data area passed to a system call is too small."
"WIN32";"0x8007007B";"ERROR_INVALID_NAME";"The filename, directory name, or volume label syntax is incorrect."
"WIN32";"0x8007007C";"ERROR_INVALID_LEVEL";"The system call level is not correct."
"WIN32";"0x8007007D";"ERROR_NO_VOLUME_LABEL";"The disk has no volume label."
"WIN32";"0x8007007E";"ERROR_MOD_NOT_FOUND";"The specified module could not be found."
"WIN32";"0x8007007F";"ERROR_PROC_NOT_FOUND";"The specified procedure could not be found."
"WIN32";"0x80070080";"ERROR_WAIT_NO_CHILDREN";"There are no child processes to wait for."
"WIN32";"0x80070081";"ERROR_CHILD_NOT_COMPLETE";"The %1 application cannot be run in Win32 mode."
"WIN32";"0x80070082";"ERROR_DIRECT_ACCESS_HANDLE";"Attempt to use a file handle to an open disk partition for an operation other than raw disk I/O."
"WIN32";"0x80070083";"ERROR_NEGATIVE_SEEK";"An attempt was made to move the file pointer before the beginning of the file."
"WIN32";"0x80070084";"ERROR_SEEK_ON_DEVICE";"The file pointer cannot be set on the specified device or file."
"WIN32";"0x80070085";"ERROR_IS_JOIN_TARGET";"A JOIN or SUBST command cannot be used for a drive that contains previously joined drives."
"WIN32";"0x80070086";"ERROR_IS_JOINED";"An attempt was made to use a JOIN or SUBST command on a drive that has already been joined."
"WIN32";"0x80070087";"ERROR_IS_SUBSTED";"An attempt was made to use a JOIN or SUBST command on a drive that has already been substituted."
"WIN32";"0x80070088";"ERROR_NOT_JOINED";"The system tried to delete the JOIN of a drive that is not joined."
"WIN32";"0x80070089";"ERROR_NOT_SUBSTED";"The system tried to delete the substitution of a drive that is not substituted."
"WIN32";"0x8007008A";"ERROR_JOIN_TO_JOIN";"The system tried to join a drive to a directory on a joined drive."
"WIN32";"0x8007008B";"ERROR_SUBST_TO_SUBST";"The system tried to substitute a drive to a directory on a substituted drive."
"WIN32";"0x8007008C";"ERROR_JOIN_TO_SUBST";"The system tried to join a drive to a directory on a substituted drive."
"WIN32";"0x8007008D";"ERROR_SUBST_TO_JOIN";"The system tried to SUBST a drive to a directory on a joined drive."
"WIN32";"0x8007008E";"ERROR_BUSY_DRIVE";"The system cannot perform a JOIN or SUBST at this time."
"WIN32";"0x8007008F";"ERROR_SAME_DRIVE";"The system cannot join or substitute a drive to or for a directory on the same drive."
"WIN32";"0x80070090";"ERROR_DIR_NOT_ROOT";"The directory is not a subdirectory of the root directory."
"WIN32";"0x80070091";"ERROR_DIR_NOT_EMPTY";"The directory is not empty."
"WIN32";"0x80070092";"ERROR_IS_SUBST_PATH";"The path specified is being used in a substitute."
"WIN32";"0x80070093";"ERROR_IS_JOIN_PATH";"Not enough resources are available to process this command."
"WIN32";"0x80070094";"ERROR_PATH_BUSY";"The path specified cannot be used at this time."
"WIN32";"0x80070095";"ERROR_IS_SUBST_TARGET";"An attempt was made to join or substitute a drive for which a directory on the drive is the target of a previous substitute."
"WIN32";"0x80070096";"ERROR_SYSTEM_TRACE";"System trace information was not specified in your CONFIG.SYS file, or tracing is disallowed."
"WIN32";"0x80070097";"ERROR_INVALID_EVENT_COUNT";"The number of specified semaphore events for DosMuxSemWait is not correct."
"WIN32";"0x80070098";"ERROR_TOO_MANY_MUXWAITERS";"DosMuxSemWait did not execute; too many semaphores are already set."
"WIN32";"0x80070099";"ERROR_INVALID_LIST_FORMAT";"The DosMuxSemWait list is not correct."
"WIN32";"0x8007009A";"ERROR_LABEL_TOO_LONG";"The volume label you entered exceeds the label character limit of the target file system."
"WIN32";"0x8007009B";"ERROR_TOO_MANY_TCBS";"Cannot create another thread."
"WIN32";"0x8007009C";"ERROR_SIGNAL_REFUSED";"The recipient process has refused the signal."
"WIN32";"0x8007009D";"ERROR_DISCARDED";"The segment is already discarded and cannot be locked."
"WIN32";"0x8007009E";"ERROR_NOT_LOCKED";"The segment is already unlocked."
"WIN32";"0x8007009F";"ERROR_BAD_THREADID_ADDR";"The address for the thread ID is not correct."
"WIN32";"0x800700A0";"ERROR_BAD_ARGUMENTS";"One or more arguments are not correct."
"WIN32";"0x800700A1";"ERROR_BAD_PATHNAME";"The specified path is invalid."
"WIN32";"0x800700A2";"ERROR_SIGNAL_PENDING";"A signal is already pending."
"WIN32";"0x800700A4";"ERROR_MAX_THRDS_REACHED";"No more threads can be created in the system."
"WIN32";"0x800700A7";"ERROR_LOCK_FAILED";"Unable to lock a region of a file."
"WIN32";"0x800700AA";"ERROR_BUSY";"The requested resource is in use."
"WIN32";"0x800700AB";"ERROR_DEVICE_SUPPORT_IN_PROGRESS";"Device's command support detection is in progress."
"WIN32";"0x800700AD";"ERROR_CANCEL_VIOLATION";"A lock request was not outstanding for the supplied cancel region."
"WIN32";"0x800700AE";"ERROR_ATOMIC_LOCKS_NOT_SUPPORTED";"The file system does not support atomic changes to the lock type."
"WIN32";"0x800700B4";"ERROR_INVALID_SEGMENT_NUMBER";"The system detected a segment number that was not correct."
"WIN32";"0x800700B6";"ERROR_INVALID_ORDINAL";"The operating system cannot run %1."
"WIN32";"0x800700B7";"ERROR_ALREADY_EXISTS";"Cannot create a file when that file already exists."
"WIN32";"0x800700BA";"ERROR_INVALID_FLAG_NUMBER";"The flag passed is not correct."
"WIN32";"0x800700BB";"ERROR_SEM_NOT_FOUND";"The specified system semaphore name was not found."
"WIN32";"0x800700BC";"ERROR_INVALID_STARTING_CODESEG";"The operating system cannot run %1."
"WIN32";"0x800700BD";"ERROR_INVALID_STACKSEG";"The operating system cannot run %1."
"WIN32";"0x800700BE";"ERROR_INVALID_MODULETYPE";"The operating system cannot run %1."
"WIN32";"0x800700BF";"ERROR_INVALID_EXE_SIGNATURE";"Cannot run %1 in Win32 mode."
"WIN32";"0x800700C0";"ERROR_EXE_MARKED_INVALID";"The operating system cannot run %1."
"WIN32";"0x800700C1";"ERROR_BAD_EXE_FORMAT";"%1 is not a valid Win32 application."
"WIN32";"0x800700C2";"ERROR_ITERATED_DATA_EXCEEDS_64k";"The operating system cannot run %1."
"WIN32";"0x800700C3";"ERROR_INVALID_MINALLOCSIZE";"The operating system cannot run %1."
"WIN32";"0x800700C4";"ERROR_DYNLINK_FROM_INVALID_RING";"The operating system cannot run this application program."
"WIN32";"0x800700C5";"ERROR_IOPL_NOT_ENABLED";"The operating system is not presently configured to run this application."
"WIN32";"0x800700C6";"ERROR_INVALID_SEGDPL";"The operating system cannot run %1."
"WIN32";"0x800700C7";"ERROR_AUTODATASEG_EXCEEDS_64k";"The operating system cannot run this application program."
"WIN32";"0x800700C8";"ERROR_RING2SEG_MUST_BE_MOVABLE";"The code segment cannot be greater than or equal to 64K."
"WIN32";"0x800700C9";"ERROR_RELOC_CHAIN_XEEDS_SEGLIM";"The operating system cannot run %1."
"WIN32";"0x800700CA";"ERROR_INFLOOP_IN_RELOC_CHAIN";"The operating system cannot run %1."
"WIN32";"0x800700CB";"ERROR_ENVVAR_NOT_FOUND";"The system could not find the environment option that was entered."
"WIN32";"0x800700CD";"ERROR_NO_SIGNAL_SENT";"No process in the command subtree has a signal handler."
"WIN32";"0x800700CE";"ERROR_FILENAME_EXCED_RANGE";"The filename or extension is too long."
"WIN32";"0x800700CF";"ERROR_RING2_STACK_IN_USE";"The ring 2 stack is in use."
"WIN32";"0x800700D0";"ERROR_META_EXPANSION_TOO_LONG";"The global filename characters, * or ?, are entered incorrectly or too many global filename characters are specified."
"WIN32";"0x800700D1";"ERROR_INVALID_SIGNAL_NUMBER";"The signal being posted is not correct."
"WIN32";"0x800700D2";"ERROR_THREAD_1_INACTIVE";"The signal handler cannot be set."
"WIN32";"0x800700D4";"ERROR_LOCKED";"The segment is locked and cannot be reallocated."
"WIN32";"0x800700D6";"ERROR_TOO_MANY_MODULES";"Too many dynamic-link modules are attached to this program or dynamic-link module."
"WIN32";"0x800700D7";"ERROR_NESTING_NOT_ALLOWED";"Cannot nest calls to LoadModule."
"WIN32";"0x800700D8";"ERROR_EXE_MACHINE_TYPE_MISMATCH";"This version of %1 is not compatible with the version of Windows you're running. Check your computer's system information and then contact the software publisher."
"WIN32";"0x800700D9";"ERROR_EXE_CANNOT_MODIFY_SIGNED_BINARY";"The image file %1 is signed, unable to modify."
"WIN32";"0x800700DA";"ERROR_EXE_CANNOT_MODIFY_STRONG_SIGNED_BINARY";"The image file %1 is strong signed, unable to modify."
"WIN32";"0x800700DC";"ERROR_FILE_CHECKED_OUT";"This file is checked out or locked for editing by another user."
"WIN32";"0x800700DD";"ERROR_CHECKOUT_REQUIRED";"The file must be checked out before saving changes."
"WIN32";"0x800700DE";"ERROR_BAD_FILE_TYPE";"The file type being saved or retrieved has been blocked."
"WIN32";"0x800700DF";"ERROR_FILE_TOO_LARGE";"The file size exceeds the limit allowed and cannot be saved."
"WIN32";"0x800700E0";"ERROR_FORMS_AUTH_REQUIRED";"Access Denied. Before opening files in this location, you must first add the web site to your trusted sites list, browse to the web site, and select the option to login automatically."
"WIN32";"0x800700E1";"ERROR_VIRUS_INFECTED";"Operation did not complete successfully because the file contains a virus or potentially unwanted software."
"WIN32";"0x800700E2";"ERROR_VIRUS_DELETED";"This file contains a virus or potentially unwanted software and cannot be opened. Due to the nature of this virus or potentially unwanted software, the file has been removed from this location."
"WIN32";"0x800700E5";"ERROR_PIPE_LOCAL";"The pipe is local."
"WIN32";"0x800700E6";"ERROR_BAD_PIPE";"The pipe state is invalid."
"WIN32";"0x800700E7";"ERROR_PIPE_BUSY";"All pipe instances are busy."
"WIN32";"0x800700E8";"ERROR_NO_DATA";"The pipe is being closed."
"WIN32";"0x800700E9";"ERROR_PIPE_NOT_CONNECTED";"No process is on the other end of the pipe."
"WIN32";"0x800700EA";"ERROR_MORE_DATA";"More data is available."
"WIN32";"0x800700EB";"ERROR_NO_WORK_DONE";"The action requested resulted in no work being done. Error-style clean-up has been performed."
"WIN32";"0x800700F0";"ERROR_VC_DISCONNECTED";"The session was canceled."
"WIN32";"0x800700FE";"ERROR_INVALID_EA_NAME";"The specified extended attribute name was invalid."
"WIN32";"0x800700FF";"ERROR_EA_LIST_INCONSISTENT";"The extended attributes are inconsistent."
"WIN32";"0x80070102";"WAIT_TIMEOUT";"The wait operation timed out."
"WIN32";"0x80070103";"ERROR_NO_MORE_ITEMS";"No more data is available."
"WIN32";"0x8007010A";"ERROR_CANNOT_COPY";"The copy functions cannot be used."
"WIN32";"0x8007010B";"ERROR_DIRECTORY";"The directory name is invalid."
"WIN32";"0x80070113";"ERROR_EAS_DIDNT_FIT";"The extended attributes did not fit in the buffer."
"WIN32";"0x80070114";"ERROR_EA_FILE_CORRUPT";"The extended attribute file on the mounted file system is corrupt."
"WIN32";"0x80070115";"ERROR_EA_TABLE_FULL";"The extended attribute table file is full."
"WIN32";"0x80070116";"ERROR_INVALID_EA_HANDLE";"The specified extended attribute handle is invalid."
"WIN32";"0x8007011A";"ERROR_EAS_NOT_SUPPORTED";"The mounted file system does not support extended attributes."
"WIN32";"0x80070120";"ERROR_NOT_OWNER";"Attempt to release mutex not owned by caller."
"WIN32";"0x8007012A";"ERROR_TOO_MANY_POSTS";"Too many posts were made to a semaphore."
"WIN32";"0x8007012B";"ERROR_PARTIAL_COPY";"Only part of a ReadProcessMemory or WriteProcessMemory request was completed."
"WIN32";"0x8007012C";"ERROR_OPLOCK_NOT_GRANTED";"The oplock request is denied."
"WIN32";"0x8007012D";"ERROR_INVALID_OPLOCK_PROTOCOL";"An invalid oplock acknowledgment was received by the system."
"WIN32";"0x8007012E";"ERROR_DISK_TOO_FRAGMENTED";"The volume is too fragmented to complete this operation."
"WIN32";"0x8007012F";"ERROR_DELETE_PENDING";"The file cannot be opened because it is in the process of being deleted."
"WIN32";"0x80070130";"ERROR_INCOMPATIBLE_WITH_GLOBAL_SHORT_NAME_REGISTRY_SETTING";"Short name settings may not be changed on this volume due to the global registry setting."
"WIN32";"0x80070131";"ERROR_SHORT_NAMES_NOT_ENABLED_ON_VOLUME";"Short names are not enabled on this volume."
"WIN32";"0x80070132";"ERROR_SECURITY_STREAM_IS_INCONSISTENT";"The security stream for the given volume is in an inconsistent state."
"WIN32";"0x80070133";"ERROR_INVALID_LOCK_RANGE";"A requested file lock operation cannot be processed due to an invalid byte range."
"WIN32";"0x80070134";"ERROR_IMAGE_SUBSYSTEM_NOT_PRESENT";"The subsystem needed to support the image type is not present."
"WIN32";"0x80070135";"ERROR_NOTIFICATION_GUID_ALREADY_DEFINED";"The specified file already has a notification GUID associated with it."
"WIN32";"0x80070136";"ERROR_INVALID_EXCEPTION_HANDLER";"An invalid exception handler routine has been detected."
"WIN32";"0x80070137";"ERROR_DUPLICATE_PRIVILEGES";"Duplicate privileges were specified for the token."
"WIN32";"0x80070138";"ERROR_NO_RANGES_PROCESSED";"No ranges for the specified operation were able to be processed."
"WIN32";"0x80070139";"ERROR_NOT_ALLOWED_ON_SYSTEM_FILE";"Operation is not allowed on a file system internal file."
"WIN32";"0x8007013A";"ERROR_DISK_RESOURCES_EXHAUSTED";"The physical resources of this disk have been exhausted."
"WIN32";"0x8007013B";"ERROR_INVALID_TOKEN";"The token representing the data is invalid."
"WIN32";"0x8007013C";"ERROR_DEVICE_FEATURE_NOT_SUPPORTED";"The device does not support the command feature."
"WIN32";"0x8007013D";"ERROR_MR_MID_NOT_FOUND";"The system cannot find message text for message number 0x%1 in the message file for %2."
"WIN32";"0x8007013E";"ERROR_SCOPE_NOT_FOUND";"The scope specified was not found."
"WIN32";"0x8007013F";"ERROR_UNDEFINED_SCOPE";"The Central Access Policy specified is not defined on the target machine."
"WIN32";"0x80070140";"ERROR_INVALID_CAP";"The Central Access Policy obtained from Active Directory is invalid."
"WIN32";"0x80070141";"ERROR_DEVICE_UNREACHABLE";"The device is unreachable."
"WIN32";"0x80070142";"ERROR_DEVICE_NO_RESOURCES";"The target device has insufficient resources to complete the operation."
"WIN32";"0x80070143";"ERROR_DATA_CHECKSUM_ERROR";"A data integrity checksum error occurred. Data in the file stream is corrupt."
"WIN32";"0x80070144";"ERROR_INTERMIXED_KERNEL_EA_OPERATION";"An attempt was made to modify both a KERNEL and normal Extended Attribute (EA) in the same operation."
"WIN32";"0x80070146";"ERROR_FILE_LEVEL_TRIM_NOT_SUPPORTED";"Device does not support file-level TRIM."
"WIN32";"0x80070147";"ERROR_OFFSET_ALIGNMENT_VIOLATION";"The command specified a data offset that does not align to the device's granularity/alignment."
"WIN32";"0x80070148";"ERROR_INVALID_FIELD_IN_PARAMETER_LIST";"The command specified an invalid field in its parameter list."
"WIN32";"0x80070149";"ERROR_OPERATION_IN_PROGRESS";"An operation is currently in progress with the device."
"WIN32";"0x8007014A";"ERROR_BAD_DEVICE_PATH";"An attempt was made to send down the command via an invalid path to the target device."
"WIN32";"0x8007014B";"ERROR_TOO_MANY_DESCRIPTORS";"The command specified a number of descriptors that exceeded the maximum supported by the device."
"WIN32";"0x8007014C";"ERROR_SCRUB_DATA_DISABLED";"Scrub is disabled on the specified file."
"WIN32";"0x8007014D";"ERROR_NOT_REDUNDANT_STORAGE";"The storage device does not provide redundancy."
"WIN32";"0x8007014E";"ERROR_RESIDENT_FILE_NOT_SUPPORTED";"The specified operation is not supported on a resident file."
"WIN32";"0x8007014F";"ERROR_COMPRESSED_FILE_NOT_SUPPORTED";"The specified operation is not supported on a compressed file."
"WIN32";"0x80070150";"ERROR_DIRECTORY_NOT_SUPPORTED";"The specified operation is not supported on a directory."
"WIN32";"0x80070151";"ERROR_NOT_READ_FROM_COPY";"The specified copy of the requested data could not be read."
"WIN32";"0x80070152";"ERROR_FT_WRITE_FAILURE";"The specified data could not be written to any of the copies."
"WIN32";"0x80070153";"ERROR_FT_DI_SCAN_REQUIRED";"One or more copies of data on this device may be out of sync. No writes may be performed until a data integrity scan is completed."
"WIN32";"0x80070154";"ERROR_INVALID_KERNEL_INFO_VERSION";"The supplied kernel information version is invalid."
"WIN32";"0x80070155";"ERROR_INVALID_PEP_INFO_VERSION";"The supplied PEP information version is invalid."
"WIN32";"0x80070156";"ERROR_OBJECT_NOT_EXTERNALLY_BACKED";"This object is not externally backed by any provider."
"WIN32";"0x80070157";"ERROR_EXTERNAL_BACKING_PROVIDER_UNKNOWN";"The external backing provider is not recognized."
"WIN32";"0x80070158";"ERROR_COMPRESSION_NOT_BENEFICIAL";"Compressing this object would not save space."
"WIN32";"0x80070159";"ERROR_STORAGE_TOPOLOGY_ID_MISMATCH";"The request failed due to a storage topology ID mismatch."
"WIN32";"0x8007015A";"ERROR_BLOCKED_BY_PARENTAL_CONTROLS";"The operation was blocked by parental controls."
"WIN32";"0x8007015B";"ERROR_BLOCK_TOO_MANY_REFERENCES";"A file system block being referenced has already reached the maximum reference count and can't be referenced any further."
"WIN32";"0x8007015C";"ERROR_MARKED_TO_DISALLOW_WRITES";"The requested operation failed because the file stream is marked to disallow writes."
"WIN32";"0x8007015D";"ERROR_ENCLAVE_FAILURE";"The requested operation failed with an architecture-specific failure code."
"WIN32";"0x8007015E";"ERROR_FAIL_NOACTION_REBOOT";"No action was taken as a system reboot is required."
"WIN32";"0x8007015F";"ERROR_FAIL_SHUTDOWN";"The shutdown operation failed."
"WIN32";"0x80070160";"ERROR_FAIL_RESTART";"The restart operation failed."
"WIN32";"0x80070161";"ERROR_MAX_SESSIONS_REACHED";"The maximum number of sessions has been reached."
"WIN32";"0x80070162";"ERROR_NETWORK_ACCESS_DENIED_EDP";"Windows Information Protection policy does not allow access to this network resource."
"WIN32";"0x80070163";"ERROR_DEVICE_HINT_NAME_BUFFER_TOO_SMALL";"The device hint name buffer is too small to receive the remaining name."
"WIN32";"0x80070164";"ERROR_EDP_POLICY_DENIES_OPERATION";"The requested operation was blocked by Windows Information Protection policy. For more information, contact your system administrator."
"WIN32";"0x80070165";"ERROR_EDP_DPL_POLICY_CANT_BE_SATISFIED";"The requested operation cannot be performed because hardware or software configuration of the device does not comply with Windows Information Protection under Lock policy. Please, verify that user PIN has been created. For more information, contact your system administrator."
"WIN32";"0x80070166";"ERROR_CLOUD_FILE_SYNC_ROOT_METADATA_CORRUPT";"The cloud sync root metadata is corrupted."
"WIN32";"0x80070166";"ERROR_CLOUD_FILE_PROVIDER_UNKNOWN";"The Cloud File provider is unknown."
"WIN32";"0x80070167";"ERROR_DEVICE_IN_MAINTENANCE";"The device is in maintenance mode."
"WIN32";"0x80070168";"ERROR_NOT_SUPPORTED_ON_DAX";"The specified operation is not supported on a DAX volume."
"WIN32";"0x80070169";"ERROR_DAX_MAPPING_EXISTS";"The volume has active DAX mappings."
"WIN32";"0x8007016A";"ERROR_CLOUD_FILE_PROVIDER_NOT_RUNNING";"The cloud file provider is not running."
